"Your Desks"
Name,Quantity
"Computer Desk",1

"Your Bookcases"
Name,Quantity
Bookcase,2

"Your Beds & Cribs"
Name,Quantity
"Queen Mattress",1

"Your Boxes"
Name,Quantity
"Medium Box",1


"Total Items",5
"APRX. Vol","92 CF"
"APRX. LBS","644 LBS"
